product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2801,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2802,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2803,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2804,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2805,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2806,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2807,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2808,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2809,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2810,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2811,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Slant Ear,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2812,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2813,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2814,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2815,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2816,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2817,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2818,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2819,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2820,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2821,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2822,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2823,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2824,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2825,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Flat Top,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2826,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2827,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2828,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2829,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2830,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2831,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2832,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2833,19,NULL,96 X 54,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2834,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2835,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
NULL,2836,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Dog Ear,Cedar Wood,1 3/4 in.,Cedar Wood,NULL
